BallotGroup,OfficeName,NumberRunning
B,GOVERNOR AND LIEUTENANT GOVERNOR,777
B,ATTORNEY GENERAL,408
B,COMPTROLLER,408
B,TREASURER,408
B,SECRETARY OF STATE,306
J,16TH SENATE,26
J,19TH SENATE,26
J,22ND SENATE,26
J,25TH SENATE,26
J,28TH SENATE,26
J,31ST SENATE,26
J,34TH SENATE,26
J,37TH SENATE,26
J,1ST SENATE,18
J,4TH SENATE,18
J,7TH SENATE,18
J,111TH REPRESENTATIVE,18
J,112TH REPRESENTATIVE,18
J,113TH REPRESENTATIVE,18
J,114TH REPRESENTATIVE,18
J,115TH REPRESENTATIVE,18
J,40TH SENATE,16
J,43RD SENATE,16
J,96TH REPRESENTATIVE,16
J,97TH REPRESENTATIVE,16
J,98TH REPRESENTATIVE,16
J,70TH REPRESENTATIVE,14
J,71ST REPRESENTATIVE,14
J,76TH REPRESENTATIVE,14
J,77TH REPRESENTATIVE,14
J,78TH REPRESENTATIVE,14
J,79TH REPRESENTATIVE,14
J,88TH REPRESENTATIVE,14
J,89TH REPRESENTATIVE,14
J,118TH REPRESENTATIVE,14
J,38TH REPRESENTATIVE,12
J,39TH REPRESENTATIVE,12
J,40TH REPRESENTATIVE,12
J,41ST REPRESENTATIVE,12
J,42ND REPRESENTATIVE,12
J,43RD REPRESENTATIVE,12
J,52ND REPRESENTATIVE,12
J,53RD REPRESENTATIVE,12
J,54TH REPRESENTATIVE,12
J,55TH REPRESENTATIVE,12
J,83RD REPRESENTATIVE,12
J,84TH REPRESENTATIVE,12
J,85TH REPRESENTATIVE,12
J,86TH REPRESENTATIVE,12
J,91ST REPRESENTATIVE,12
J,92ND REPRESENTATIVE,12
J,93RD REPRESENTATIVE,12
J,99TH REPRESENTATIVE,12
J,100TH REPRESENTATIVE,12
J,106TH REPRESENTATIVE,11
J,72ND REPRESENTATIVE,10
J,73RD REPRESENTATIVE,10
J,103RD REPRESENTATIVE,10
J,57TH REPRESENTATIVE,9
J,58TH REPRESENTATIVE,9
J,59TH REPRESENTATIVE,9
J,95TH REPRESENTATIVE,9
J,110TH REPRESENTATIVE,9
J,117TH REPRESENTATIVE,9
J,44TH REPRESENTATIVE,8
J,45TH REPRESENTATIVE,8
J,46TH REPRESENTATIVE,8
J,47TH REPRESENTATIVE,8
J,51ST REPRESENTATIVE,8
J,74TH REPRESENTATIVE,8
J,94TH REPRESENTATIVE,8
J,104TH REPRESENTATIVE,8
J,105TH REPRESENTATIVE,8
J,107TH REPRESENTATIVE,8
J,109TH REPRESENTATIVE,8
J,82ND REPRESENTATIVE,7
J,12TH REPRESENTATIVE,6
J,13TH REPRESENTATIVE,6
J,14TH REPRESENTATIVE,6
J,15TH REPRESENTATIVE,6
J,60TH REPRESENTATIVE,6
J,61ST REPRESENTATIVE,6
J,62ND REPRESENTATIVE,6
J,63RD REPRESENTATIVE,6
J,64TH REPRESENTATIVE,6
J,65TH REPRESENTATIVE,6
J,66TH REPRESENTATIVE,6
J,67TH REPRESENTATIVE,6
J,68TH REPRESENTATIVE,6
J,75TH REPRESENTATIVE,6
J,108TH REPRESENTATIVE,6
J,116TH REPRESENTATIVE,5
J,10TH SENATE,4
J,13TH SENATE,4
J,1ST REPRESENTATIVE,4
J,2ND REPRESENTATIVE,4
J,3RD REPRESENTATIVE,4
J,7TH REPRESENTATIVE,4
J,8TH REPRESENTATIVE,4
J,9TH REPRESENTATIVE,4
J,16TH REPRESENTATIVE,4
J,17TH REPRESENTATIVE,4
J,18TH REPRESENTATIVE,4
J,20TH REPRESENTATIVE,4
J,21ST REPRESENTATIVE,4
J,22ND REPRESENTATIVE,4
J,23RD REPRESENTATIVE,4
J,24TH REPRESENTATIVE,4
J,25TH REPRESENTATIVE,4
J,48TH REPRESENTATIVE,4
J,49TH REPRESENTATIVE,4
J,50TH REPRESENTATIVE,4
J,80TH REPRESENTATIVE,4
J,81ST REPRESENTATIVE,4
J,102ND REPRESENTATIVE,4
J,55TH SENATE,3
J,58TH SENATE,3
J,4TH REPRESENTATIVE,3
J,5TH REPRESENTATIVE,3
J,6TH REPRESENTATIVE,3
J,31ST REPRESENTATIVE,3
J,32ND REPRESENTATIVE,3
J,33RD REPRESENTATIVE,3
J,37TH REPRESENTATIVE,3
J,10TH REPRESENTATIVE,2
J,11TH REPRESENTATIVE,2
J,19TH REPRESENTATIVE,2
J,26TH REPRESENTATIVE,2
J,27TH REPRESENTATIVE,2
J,28TH REPRESENTATIVE,2
J,29TH REPRESENTATIVE,2
J,30TH REPRESENTATIVE,2
J,34TH REPRESENTATIVE,2
J,35TH REPRESENTATIVE,2
J,36TH REPRESENTATIVE,2
J,56TH REPRESENTATIVE,2
J,69TH REPRESENTATIVE,2
J,87TH REPRESENTATIVE,2
J,90TH REPRESENTATIVE,2
J,101ST REPRESENTATIVE,2
J,46TH SENATE,1
J,49TH SENATE,1
J,51ST SENATE,1
J,52ND SENATE,1
LC,12TH CIRCUIT- 5TH SUBCIRCUIT - A VACANCY,42
LC,12TH CIRCUIT- 5TH SUBCIRCUIT - B VACANCY,42
LC,13TH CIRCUIT - A VACANCY,42
LC,14TH CIRCUIT- BEATTY VACANCY,42
LC,14TH CIRCUIT- VANDERSNICK VACANCY,42
LC,16TH CIRCUIT- GROMETER VACANCY,42
LC,16TH CIRCUIT- DeKALB COUNTY - A VACANCY,42
LC,16TH CIRCUIT- KANE COUNTY - A VACANCY,42
LC,16TH CIRCUIT- WEGNER VACANCY,42
LC,16TH CIRCUIT- KENDALL COUNTY - A VACANCY,42
LC,16TH CIRCUIT- 3RD SUBCIRCUIT - A VACANCY,42
LC,16TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY,42
LC,17TH CIRCUIT-  A VACANCY,42
LC,18TH CIRCUIT - BYRNE VACANCY,42
LC,18TH CIRCUIT - JORGENSEN VACANCY,42
LC,18TH CIRCUIT - KILANDER VACANCY,42
LC,19TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY,42
LC,19TH CIRCUIT- 5TH SUBCIRCUIT - A VACANCY,42
LC,19TH CIRCUIT- 6TH SUBCIRCUIT - A VACANCY,42
LC,20TH CIRCUIT- YOUNG VACANCY,42
LC,9TH CIRCUIT - HENDERSON VACANCY,26
LC,10TH CIRCUIT- BARRA VACANCY,26
LC,10TH CIRCUIT- VESPA VACANCY,26
LC,12TH CIRCUIT- WHITE VACANCY,26
LC,12TH CIRCUIT- 1ST SUBCIRCUIT - PETKA VACANCY,26
LC,12TH CIRCUIT- 3RD SUBCIRCUIT - A VACANCY,26
LC,12TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY,26
LC,COOK CIRCUIT- BERLAND VACANCY,10
LC,COOK CIRCUIT- BRONSTEIN VACANCY,10
LC,COOK CIRCUIT- DOLAN VACANCY,10
LC,COOK CIRCUIT- HAYES VACANCY,10
LC,COOK CIRCUIT- KELLEY VACANCY,10
LC,COOK CIRCUIT- McCARTHY VACANCY,10
LC,8TH CIRCUIT - SCHUERING VACANCY,5
LC,COOK CIRCUIT- O'MALLEY VACANCY,2
LC,3RD CIRCUIT - STACK VACANCY,2
LC,4TH CIRCUIT- COADY VACANCY,2
LC,4TH CIRCUIT- MORAN VACANCY,2
LC,4TH CIRCUIT- SAUER VACANCY,2
LC,6TH CIRCUIT- PETERS VACANCY,2
LC,6TH CIRCUIT- GREANIAS VACANCY,2
LC,7TH CIRCUIT- EGGERS VACANCY,2
LC,"20TH CIRCUIT- SCHUWERK, JR. VACANCY",2
LC,20TH CIRCUIT- ECKERT VACANCY,2
LC,22ND CIRCUIT-  A VACANCY,2
LC,COOK CIRCUIT- RILEY VACANCY,1
LC,4TH CIRCUIT- HITPAS VACANCY,1
LC,5TH CIRCUIT- CINI VACANCY,1
LC,8TH CIRCUIT - BROWNFIELD VACANCY,1
LC,9TH CIRCUIT - MATHERS VACANCY,1
A,UNITED STATES SENATOR,1002
F,15TH CONGRESS,69
F,16TH CONGRESS,69
F,17TH CONGRESS,60
F,18TH CONGRESS,60
F,11TH CONGRESS,44
F,12TH CONGRESS,44
F,1ST CONGRESS,33
F,3RD CONGRESS,30
F,4TH CONGRESS,30
F,5TH CONGRESS,30
F,6TH CONGRESS,30
F,7TH CONGRESS,30
F,8TH CONGRESS,30
