BallotGroup,OfficeName,NumberRunning
B,GOVERNOR AND LIEUTENANT GOVERNOR,877
B,COMPTROLLER,307
B,TREASURER,307
B,ATTORNEY GENERAL,306
B,SECRETARY OF STATE,306
J,59TH SENATE,26
J,118TH REPRESENTATIVE,22
J,47TH SENATE,21
J,109TH REPRESENTATIVE,18
J,45TH SENATE,18
J,100TH REPRESENTATIVE,16
J,54TH SENATE,16
J,93RD REPRESENTATIVE,16
J,38TH SENATE,14
J,48TH SENATE,13
J,110TH REPRESENTATIVE,12
J,89TH REPRESENTATIVE,12
J,95TH REPRESENTATIVE,12
J,101ST REPRESENTATIVE,10
J,107TH REPRESENTATIVE,10
J,115TH REPRESENTATIVE,10
J,51ST SENATE,10
J,90TH REPRESENTATIVE,10
J,50TH SENATE,9
J,96TH REPRESENTATIVE,9
J,116TH REPRESENTATIVE,8
J,26TH SENATE,8
J,36TH SENATE,8
J,71ST REPRESENTATIVE,8
J,76TH REPRESENTATIVE,8
J,84TH REPRESENTATIVE,8
J,94TH REPRESENTATIVE,8
J,102ND REPRESENTATIVE,7
J,117TH REPRESENTATIVE,6
J,41ST SENATE,6
J,49TH REPRESENTATIVE,6
J,53RD SENATE,6
J,56TH SENATE,6
J,70TH REPRESENTATIVE,6
J,73RD REPRESENTATIVE,6
J,79TH REPRESENTATIVE,6
J,82ND REPRESENTATIVE,6
J,91ST REPRESENTATIVE,6
J,106TH REPRESENTATIVE,5
J,44TH SENATE,5
J,74TH REPRESENTATIVE,5
J,104TH REPRESENTATIVE,4
J,105TH REPRESENTATIVE,4
J,108TH REPRESENTATIVE,4
J,111TH REPRESENTATIVE,4
J,112TH REPRESENTATIVE,4
J,113TH REPRESENTATIVE,4
J,17TH SENATE,4
J,21ST SENATE,4
J,23RD SENATE,4
J,24TH SENATE,4
J,29TH SENATE,4
J,30TH SENATE,4
J,32ND SENATE,4
J,33RD SENATE,4
J,35TH SENATE,4
J,37TH REPRESENTATIVE,4
J,41ST REPRESENTATIVE,4
J,42ND SENATE,4
J,43RD REPRESENTATIVE,4
J,45TH REPRESENTATIVE,4
J,47TH REPRESENTATIVE,4
J,50TH REPRESENTATIVE,4
J,51ST REPRESENTATIVE,4
J,52ND REPRESENTATIVE,4
J,56TH REPRESENTATIVE,4
J,57TH SENATE,4
J,58TH REPRESENTATIVE,4
J,59TH REPRESENTATIVE,4
J,64TH REPRESENTATIVE,4
J,65TH REPRESENTATIVE,4
J,69TH REPRESENTATIVE,4
J,75TH REPRESENTATIVE,4
J,77TH REPRESENTATIVE,4
J,81ST REPRESENTATIVE,4
J,87TH REPRESENTATIVE,4
J,88TH REPRESENTATIVE,4
J,97TH REPRESENTATIVE,4
J,34TH REPRESENTATIVE,3
J,114TH REPRESENTATIVE,2
J,15TH REPRESENTATIVE,2
J,15TH SENATE,2
J,17TH REPRESENTATIVE,2
J,18TH REPRESENTATIVE,2
J,19TH REPRESENTATIVE,2
J,25TH REPRESENTATIVE,2
J,27TH SENATE,2
J,29TH REPRESENTATIVE,2
J,35TH REPRESENTATIVE,2
J,38TH REPRESENTATIVE,2
J,39TH SENATE,2
J,40TH REPRESENTATIVE,2
J,42ND REPRESENTATIVE,2
